50	 9	 009
51	 9	 009
49	 9	 009
52	 9	 009
48	 9	 009
53	 9	 009
47	 9	 009
54	 9	 009
46	 9	 009
55	 9	 009
45	 9	 009
56	 9	 009
44	 10	 010
57	 10	 010
43	 10	 010
58	 10	 010
42	 10	 010
59	 10	 010
41	 10	 010
60	 10	 010
40	 10	 010
61	 10	 010
39	 10	 010
62	 10	 010
38	 11	 011
63	 11	 011
37	 11	 011
36	 11	 011
35	 12	 012
34	 12	 012
33	 13	 013
32	 14	 014
31	 18	 018
50	 34	 025
51	 34	 025
49	 34	 025
52	 34	 025
48	 34	 025
53	 34	 025
47	 34	 025
54	 34	 025
46	 34	 025
55	 34	 025
45	 34	 025
56	 34	 025
44	 34	 024
57	 34	 024
43	 35	 025
58	 35	 025
42	 35	 025
59	 35	 025
41	 35	 025
60	 35	 025
40	 35	 025
61	 35	 025
39	 35	 025
62	 35	 025
38	 35	 024
63	 35	 024
37	 35	 024
36	 35	 024
35	 35	 023
34	 36	 024
33	 36	 023
30	 36	 036
32	 36	 022
29	 36	 036
31	 36	 018
28	 36	 036
24	 36	 036
27	 36	 036
26	 36	 036
25	 37	 037
50	 41	 007
51	 41	 007
49	 41	 007
52	 41	 007
48	 41	 007
53	 41	 007
47	 41	 007
54	 41	 007
46	 41	 007
55	 41	 007
45	 41	 007
56	 41	 007
44	 42	 008
57	 42	 008
43	 42	 007
58	 42	 007
42	 42	 007
59	 42	 007
41	 42	 007
60	 42	 007
40	 42	 007
61	 42	 007
39	 42	 007
62	 42	 007
38	 42	 007
63	 42	 007
37	 43	 008
36	 43	 008
35	 43	 008
34	 43	 007
33	 43	 007
30	 43	 007
32	 43	 007
31	 43	 007
29	 44	 007
24	 57	 021
48	 58	 017
49	 58	 017
50	 58	 017
51	 58	 017
52	 58	 017
53	 58	 017
47	 58	 017
54	 58	 017
46	 58	 017
55	 58	 017
45	 58	 017
56	 58	 017
44	 58	 016
57	 58	 016
43	 58	 016
58	 58	 016
42	 58	 016
59	 58	 016
41	 58	 016
60	 58	 016
40	 58	 016
